STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
36,NY,10469,41.02,26.97,15.06,7.87,8.17,0.92,32670
36,NY,10470,37.08,25.33,16.06,8.75,10.97,1.83,7660
36,NY,10471,23.44,16.39,16.29,12.21,20.85,10.82,10070
36,NY,10472,56.06,27.01,10.42,3.84,2.49,0.17,28880
36,NY,10473,45.61,27.66,14.12,6.56,5.63,0.43,27910
36,NY,10474,58.22,27.92,9.7,2.77,1.39,0,5050
36,NY,10475,32.43,28.52,20.54,10.66,7.46,0.39,22790
36,NY,10501,27.14,12.86,10,8.57,20,21.43,700
36,NY,10502,22.89,10.21,8.45,8.1,22.18,28.17,2840
36,NY,10503,0,33.33,0,16.67,25,25,120
36,NY,10504,20.38,8.07,6.79,5.52,15.29,43.95,4710
36,NY,10505,31.34,16.42,10.45,5.97,17.91,17.91,670
36,NY,10506,25.18,8.16,7.09,5.32,16.31,37.94,2820
36,NY,10507,30.45,20.3,12.03,7.89,15.79,13.53,2660
36,NY,10509,29.32,17.77,12.95,10.24,20.98,8.73,9960
36,NY,10510,21.64,10.29,7.98,6.51,20.8,32.77,4760
36,NY,10511,28.45,18.1,13.79,11.21,21.55,6.9,1160
36,NY,10512,26.78,17.83,14.39,11.27,22.62,7.11,12510
36,NY,10514,22.2,7.28,5.78,4.48,14.74,45.52,5360
36,NY,10516,25.18,15.69,12.41,10.58,23.72,12.41,2740
36,NY,10517,25,18.18,13.64,13.64,20.45,9.09,440
36,NY,10518,27.03,12.16,8.11,6.76,21.62,24.32,740
36,NY,10519,25,21.43,10.71,10.71,21.43,10.71,280
36,NY,10520,24.03,13.8,12.25,9.92,21.86,18.14,6450
36,NY,10522,21.95,14.12,13.55,10.11,20.8,19.47,5240
36,NY,10523,30.37,21.28,15.29,10.54,17.36,5.17,4840
36,NY,10524,24.77,14.02,12.15,9.81,23.83,15.42,2140
36,NY,10526,24.24,13.13,11.11,8.08,22.22,21.21,990
36,NY,10527,20.45,11.36,9.09,6.82,27.27,25,440
36,NY,10528,26.1,15.42,12.88,9.15,16.78,19.66,5900
36,NY,10530,19.75,13.4,14.78,12.15,25.55,14.36,7240
36,NY,10532,22.69,15.38,13.46,9.23,26.92,12.31,2600
36,NY,10533,21.07,10.67,10.13,8.8,20,29.33,3750
36,NY,10535,30.95,23.81,16.67,9.52,14.29,4.76,420
36,NY,10536,25.9,10.67,8.19,6.29,19.24,29.71,5250
36,NY,10537,28.8,22.4,15.2,12.8,17.6,3.2,1250
36,NY,10538,20.62,9.44,8.94,6.58,16.27,38.14,8050
36,NY,10541,27.44,15.93,12.54,10.25,25,8.83,12680
36,NY,10543,28.06,16.14,12.23,8.63,17.88,17.06,9730
36,NY,10545,78.95,21.05,0,0,0,0,190
36,NY,10546,22.22,9.72,8.33,9.72,22.22,27.78,720
36,NY,10547,28.53,17.93,13.86,9.78,22.55,7.34,3680
36,NY,10548,26.42,16.98,14.47,10.69,23.9,7.55,1590
36,NY,10549,31.99,17.34,10.99,7.08,14.77,17.83,8190
36,NY,10550,44.96,29.12,13.64,6.3,5.61,0.37,19060
36,NY,10552,27.59,20.9,17.51,11.18,16.77,6.05,10910
36,NY,10553,35.76,27.8,15.25,8.81,10.85,1.53,5900
36,NY,10560,23.83,14.02,10.75,8.88,21.03,21.5,2140
36,NY,10562,30.7,20.4,13.62,9.54,17.33,8.41,15930
36,NY,10566,36.6,24.02,14.3,8.91,13.32,2.86,12240
36,NY,10567,24.97,14.68,11.42,9.89,25.18,13.86,9810
36,NY,10570,24.67,12.42,9.77,7.62,20.2,25.33,6040
36,NY,10573,35.79,22.82,12.71,7.04,11.65,10.01,18890
36,NY,10576,22.89,9.24,8.03,6.43,20.48,32.93,2490
